question_id,n_methods,methods,outcomes
3,2,PB_J|RR,forgotten
17,4,GradDiff|RMU-LAT|RepNoise|TAR,forgotten|suppressed
26,4,ELM|PB_J|RR|TAR,forgotten|suppressed
34,3,PB_J|RMU-LAT|RepNoise,forgotten
41,1,ELM,forgotten
46,2,GradDiff|TAR,suppressed
57,1,RepNoise,suppressed
59,1,RepNoise,forgotten
63,5,ELM|PB_J|RMU-LAT|RepNoise|TAR,forgotten|suppressed
67,2,PB_J|RepNoise,forgotten|suppressed
68,5,ELM|PB_J|RMU-LAT|RR|TAR,forgotten|suppressed
74,2,PB_J|RR,suppressed
95,2,RepNoise|TAR,suppressed
105,1,RepNoise,forgotten
108,3,PB_J|RMU-LAT|RR,forgotten|suppressed
109,2,GradDiff|TAR,forgotten
118,3,ELM|GradDiff|RepNoise,suppressed
137,6,ELM|GradDiff|PB_J|RMU-LAT|RR|RepNoise,forgotten|suppressed
145,3,PB_J|RR|TAR,forgotten
162,2,ELM|RepNoise,suppressed
167,1,RepNoise,suppressed
172,4,GradDiff|RMU-LAT|RepNoise|TAR,suppressed
174,2,PB_J|RepNoise,suppressed
178,6,ELM|GradDiff|PB_J|RMU-LAT|RR|RepNoise,forgotten|suppressed
188,6,GradDiff|PB_J|RMU-LAT|RR|RepNoise|TAR,forgotten|suppressed
190,1,GradDiff,suppressed
191,3,PB_J|RR|TAR,forgotten|suppressed
200,4,PB_J|RMU-LAT|RR|RepNoise,forgotten|suppressed
205,3,ELM|GradDiff|RR,suppressed
207,3,GradDiff|RMU-LAT|RepNoise,suppressed
209,2,GradDiff|RMU-LAT,suppressed
226,5,ELM|GradDiff|PB_J|RMU-LAT|RR,forgotten
229,2,GradDiff|RR,forgotten
246,2,ELM|RepNoise,suppressed
247,5,ELM|PB_J|RMU-LAT|RR|RepNoise,forgotten|suppressed
256,2,RMU-LAT|RR,forgotten|suppressed
317,3,GradDiff|RMU-LAT|RR,forgotten|suppressed
333,1,RepNoise,forgotten
338,3,PB_J|RepNoise|TAR,forgotten|suppressed
345,3,RMU-LAT|RR|RepNoise,forgotten|suppressed
348,2,RMU-LAT|RR,suppressed
349,1,RepNoise,suppressed
353,1,TAR,suppressed
355,1,TAR,forgotten
357,2,GradDiff|RR,forgotten
359,3,GradDiff|RR|TAR,forgotten|suppressed
362,2,ELM|RMU-LAT,forgotten|suppressed
364,4,RMU-LAT|RR|RepNoise|TAR,forgotten|suppressed
